time ncalls memtot memlive maxlive
10 436813 5.57883e+08 42114230 42360014
20 649072 7.79606e+08 43057496 43292993
30 5329016 1.43556e+09 67448836 127885760
40 9539423 3.35688e+09 463125260 463125260
50 20302319 5.97121e+09 893124305 898108639
60 38210541 8.44739e+09 1143410541 1178764851
70 68298296 1.3119e+10 1243885713 1263236118
80 102332816 1.69761e+10 2172454088 2172455304
90 124693790 2.12122e+10 3170190690 3533684214
100 157164916 2.81432e+10 3744786409 3809620679
110 201851523 3.52832e+10 3768670756 3817221293
120 244843433 4.29412e+10 3752968058 3829126479
130 290356978 5.05254e+10 3830487924 3840598685
140 333515507 5.73353e+10 3832156315 3876406606
150 380132651 6.45581e+10 3858558624 3885410094
160 424811828 7.17605e+10 3845330603 3913032621
170 472180885 7.91575e+10 3890820073 3913788389
180 517572517 8.6049e+10 3891279428 3944586465
190 560513400 9.26157e+10 3912925303 3944586465
200 581592443 1.02046e+11 2265379286 3959898565
